geneid,GTEX.A01,GTEX.A02,GTEX.A03,GTEX.A04,GTEX.A05,GTEX.A06,GTEX.A07,GTEX.A08,GTEX.A09,GTEX.A10,GTEX.A11,GTEX.A12,GTEX.A13,GTEX.A14,GTEX.A15,GTEX.A16,GTEX.A17,GTEX.A18,GTEX.A19,GTEX.A20
ENSG2001,0.69650655,1.68413252,-0.22028682,0.05981019,-0.17454202,-0.89674369,-0.32056499,1.56627209,-1.89207382,-0.89536663,-1.12546713,2.78158434,-0.05460556,0.12520247,1.1609359,1.33695703,0.27440182,-0.88039509,0.07050903,2.82160681
ENSG2002,3.3699855,4.8598872,-2.9670471,-3.5308112,0.7329968,-2.0091179,-1.3575029,-0.3707418,-2.8001333,-0.7590116,2.6847066,1.6048155,-3.1490227,-0.3460874,-1.99508,-2.5382371,-3.2669195,-3.5806111,4.0188854,4.8469179
ENSG2003,1.87042956,0.25371711,1.59655353,2.53545306,0.46040809,1.97003105,1.87809709,0.89770516,1.66813332,0.73818221,2.11309493,2.09772702,1.64068533,1.37521055,-0.57807495,0.67367599,0.31737607,0.04055587,1.05327489,0.63146616
ENSG2004,-2.912286,-2.2405803,-1.3487757,-2.3467327,-2.3213928,-1.7579102,-2.0858102,-1.3313995,-1.3360938,-2.545344,-0.5894655,-3.1393311,-1.6735539,-1.5149462,-1.6746186,-1.9225601,-2.8168124,-2.0434149,-2.1879744,-1.0146401
ENSG2005,0.9477077,1.7461384,1.0067201,1.1646707,1.0384228,1.1983872,0.8672313,2.5980843,0.4348277,1.3514619,1.8971197,1.3781725,1.0046769,1.0715909,0.8660498,1.934994,2.3106617,2.4333712,1.3839228,1.4281379
ENSG2006,-2.6875289,-3.382838,-3.6363205,0.3735428,-2.6603822,-1.6288788,0.5381933,-2.8383093,0.2651921,-1.4431004,-1.6456038,-3.3207082,1.0973507,-3.6451133,-0.5417269,0.696558,0.8038969,-3.3251937,-0.2936944,-3.3495994
ENSG2007,-0.82761806,-0.67639653,-0.20798212,-1.27978822,0.19083048,0.83368177,0.53640886,-0.68537151,2.61986418,-1.78174501,1.03026384,-0.37317345,-4.04298727,-0.06513978,-2.05437111,0.50401585,-0.64528536,0.96188946,0.47617477,-1.49593859
ENSG2008,0.31078735,-0.04958579,-3.9917391,0.39351876,-0.50150145,-1.92074948,2.04300707,-0.54619854,0.68843419,-3.74180073,-0.14180165,-3.23821456,-0.33040083,-1.96048995,-1.28122977,-4.60603728,-5.60076089,-4.2924633,-2.58859643,-4.27283536
ENSG2009,2.6853762,-1.318586,1.3163925,4.6780091,1.3281712,0.8281837,-1.8856298,-2.8805916,-0.7247768,-0.6761721,-4.6731988,3.9515925,1.4462645,-3.5834162,1.2020434,-3.3068686,-2.8774905,-1.914207,3.8494666,1.4225452
ENSG2010,0.8532474,0.1009515,3.4259466,-0.3873659,-0.2607368,-0.637658,0.3774858,0.4110591,0.2745978,-1.7857802,-0.3321604,1.7291819,-0.1009752,-0.1474854,2.2382853,-1.0396761,-2.4352541,4.5080986,-1.1527917,2.9973317
ENSG2011,-0.7713699,-1.2242425,-1.1807065,-0.9474943,-0.8089671,-0.5277785,-0.867114,-0.3163224,-0.9113242,-1.0487303,-1.3989822,-0.5770803,-1.3863218,-0.5782617,-0.2651751,-0.2632135,-2.2304845,-1.0608716,-1.5384698,-1.1845509
