geneid,GTEX.A01,GTEX.A02,GTEX.A03,GTEX.A04,GTEX.A05,GTEX.A06,GTEX.A07,GTEX.A08,GTEX.A09,GTEX.A10,GTEX.A11,GTEX.A12,GTEX.A13,GTEX.A14,GTEX.A15,GTEX.A16,GTEX.A17,GTEX.A18,GTEX.A19,GTEX.A20
ENSG0001,1.7442091,0.9930179,0.4508932,2.3340224,2.2245069,0.6802433,0.935723,1.3667062,1.657887,0.8785818,0.817408,1.5819755,2.9198571,1.921357,1.179259,0.5645028,0.9881656,1.4322245,1.9310748,0.5611966
ENSG0002,0.9088342,0.6724986,-0.3746149,1.1186974,0.2164199,1.1904756,0.2421345,-0.2748622,0.7609791,0.5656892,1.3302834,0.8985664,0.3510098,0.2073764,0.8469824,1.3997234,-0.1791252,0.6582812,1.1033964,1.5331075
ENSG0003,2.0803076,-1.7450583,-1.4296976,-1.3298703,-0.3595909,-4.0250772,0.1215284,1.4290013,0.7051982,-3.0958911,-7.9228894,0.6869186,-0.2771477,-3.231127,2.2824694,-1.3807558,-1.6535709,-0.3721602,-0.6945206,-2.298613
ENSG0004,-2.0782459,-1.3597897,-2.251599,-0.9002792,-2.1974171,-0.4876353,-0.7965691,-2.5049566,-1.4460941,-1.6838477,-1.488091,-0.8185801,-0.419007,-1.6923618,0.5447655,-1.6172358,-0.7472788,-2.0240633,-1.3854444,-0.8603381
ENSG0005,-1.33677026,-1.54083834,-0.73835812,-2.22414657,-1.00671307,-0.82768791,-0.85890434,-0.70877258,-0.41057094,-2.80655539,-1.68747435,-0.96807742,-1.31542657,0.05430884,-2.61001634,-1.46208053,-0.57087772,-0.72886791,-0.52915079,-1.13665436
ENSG0006,0.628767072,0.016018002,2.181050009,0.548662578,0.013643906,4.023636568,0.779925319,-0.555073563,-0.622665052,-0.900835042,0.704041562,0.831603011,-1.513585602,0.523712396,-0.106224382,1.771897837,0.005607637,-0.028295092,0.686746549,0.618114909
ENSG0007,-1.8855801,0.1448193,2.9146522,0.9861894,-3.5740588,1.509585,1.4697144,0.9973528,-0.9590715,1.4598356,-2.6131262,0.9689587,-2.3915377,2.7627296,-0.8669945,1.4848919,-1.6316418,-1.6041246,1.1303613,1.95139
ENSG0008,1.21849807,0.77400702,-2.47231116,1.68059713,0.55360832,-1.29359322,-0.80436159,-1.92266442,1.7254368,-0.79362438,-1.32061025,5.9668186,1.24346831,0.49533425,-0.02157791,1.38346948,1.87933735,-0.91513608,0.27984606,-2.06985541
ENSG0009,0.1964397,-0.7643556,0.120128,0.125086,2.8311671,1.5769932,2.2569598,-2.3016258,-3.489147,-1.0350912,-0.4920206,3.9791397,-4.1307514,1.783266,-0.359539,1.6866777,-3.7990542,2.4272274,-1.2044308,-2.3634459
ENSG0010,1.817459,-1.0802021,-3.4348207,-3.6020313,-0.4103208,-1.9539506,-2.6395607,-2.0742192,-2.3412857,-1.5365125,-0.6447718,0.9358785,1.5835032,-1.8642297,-1.3675237,-3.2199229,-0.6015693,-1.8019306,-1.6564793,-1.5326062
